"RelativePath","Classification","Action","Owner","Reason","Size","SHA256"
".agents/rules/60-git.md","Governance","copy","DX-OS","DX-OS Agent Rules","93","E990B18E8FB20A3DBE120BC4F6826158741225D68BC3EF315AF2D019315903E3"
".agents/skills/beads/SKILL.md","Governance","copy","DX-OS","DX-OS Agent Skills","2146","1A621606CFA9A14CBACFF84BF5C496B4C2C175C2DF329E8D19D4E01FC989DEDD"
".agents/skills/beads/agents/openai.yaml","Governance","copy","DX-OS","DX-OS Agent Skills","175","C7FF618A9A6BCCE71B25F722F67861B7685651D08FB72D8FFF7D947AAC403718"
".agents/skills/openspec-apply-change/SKILL.md","Governance","copy","DX-OS","DX-OS Agent Skills","7704","F1F1A448D646A092B1257B2455D0495C8D49C0CCF4567B3311BBC924059DDCF3"
".agents/skills/openspec-archive-change/SKILL.md","Governance","copy","DX-OS","DX-OS Agent Skills","10668","96482CB943FDF9ECB51052CA07BCDC3A11E08DEBFFF5E5539460C7E0F57B6DC4"
".agents/skills/openspec-explore/SKILL.md","Governance","copy","DX-OS","DX-OS Agent Skills","16225","B5EAF86DE710307E547DAA47B9ECCFD052A89706BDE5D2F0FE0720D50B293257"
".agents/skills/openspec-propose/SKILL.md","Governance","copy","DX-OS","DX-OS Agent Skills","11204","A556A8E5EFF6EE29687F61050AE7BA16E0007B81EA493D092675CEFBAE02A7B4"
".agents/skills/openspec-sync-specs/SKILL.md","Governance","copy","DX-OS","DX-OS Agent Skills","12495","45605058321C45423D954EC2D627D32FB059472BEE7A8EA3E8625BFE21425B17"
".agents/skills/openspec-update-change/SKILL.md","Governance","copy","DX-OS","DX-OS Agent Skills","6953","58820C69AB5B1A6E49ADAAF1A5E56540526FA48AF5F61019F71DD7DD82794215"
"DXOS.slnx","Build","copy","DX-OS","Solution file","789","5EBBB37F12B39BBF698E7662EE98169D28352DD831E7C6D0C302819C27FEA428"
"src/DXOS.Api/appsettings.Development.json","Source","copy","DX-OS","DX-OS Application Code","127","73F95F9E0CEB205FC1C4DC50C07697FCFA29D7087868C2AEF1D504CB38C771EC"
"src/DXOS.Api/appsettings.json","Source","copy","DX-OS","DX-OS Application Code","151","200332B434757A0054A3D356C91CDE01F2C48712BE8AA2BCB0F3E973619F06E3"
"src/DXOS.Api/DXOS.Api.csproj","Source","copy","DX-OS","DX-OS Application Code","295","A1633603003FCD8C2E4A0BFEDFCA59D62832138EC847E159D8850E1017BA206F"
"src/DXOS.Api/DXOS.Api.http","Source","copy","DX-OS","DX-OS Application Code","129","5EEF485A776136382D7FB48B58B20FD12EEA818684B7A256196CF2D564FE177B"
"src/DXOS.Api/FodyWeavers.xml","Source","copy","DX-OS","DX-OS Application Code","21","5FD72CE30CBB035E8D3A2D68559B6ADB5B0FEEB8BDDEDDB700A2848A315F1369"
"src/DXOS.Api/Program.cs","Source","copy","DX-OS","DX-OS Application Code","1071","5675C7B08D0FED7D48052C764E516FD3EFD1047937CC9FC9A01FB77CAAA668AA"
"src/DXOS.Api/Properties/launchSettings.json","Source","copy","DX-OS","DX-OS Application Code","644","2D10AA14161A22F2707543F526C11923CA6431F464481FE9B3B6B8122BF5EF1B"
"src/DXOS.AppHost/DXOS.AppHost.csproj","Source","copy","DX-OS","DX-OS Application Code","284","D2D1C30E1F9FA72873A5788986B758098AE2B7F6C88FB91EB2B1D7E360ADD19A"
"src/DXOS.AppHost/FodyWeavers.xml","Source","copy","DX-OS","DX-OS Application Code","21","5FD72CE30CBB035E8D3A2D68559B6ADB5B0FEEB8BDDEDDB700A2848A315F1369"
"src/DXOS.AppHost/FodyWeavers.xsd","Source","copy","DX-OS","DX-OS Application Code","1161","5D4A945AAB41A2D651E44F87461F8D3228FAE26D9333701187662420FF0AC46B"
"src/DXOS.AppHost/Program.cs","Source","copy","DX-OS","DX-OS Application Code","105","C0A7DF6C37363632A5E04E8425650EAC924903399ACB7E28560A96CA3F07A4F9"
"src/DXOS.Application/Class1.cs","Source","copy","DX-OS","DX-OS Application Code","63","F3F741CB0FC66A99F741B72CB2CBC7FA4808CE22E20A36C02CF69393E8BF1642"
"src/DXOS.Application/DXOS.Application.csproj","Source","copy","DX-OS","DX-OS Application Code","250","754927C4E0B80E6AB2666AAAAA961569C198AEE07075BDBBB253E73B89969974"
"src/DXOS.Application/FodyWeavers.xml","Source","copy","DX-OS","DX-OS Application Code","21","5FD72CE30CBB035E8D3A2D68559B6ADB5B0FEEB8BDDEDDB700A2848A315F1369"
"src/DXOS.Application/FodyWeavers.xsd","Source","copy","DX-OS","DX-OS Application Code","1161","5D4A945AAB41A2D651E44F87461F8D3228FAE26D9333701187662420FF0AC46B"
"src/DXOS.Domain/Class1.cs","Source","copy","DX-OS","DX-OS Application Code","58","E9C8D625C9BB59267E4A29C5679BAD9D22A15CA123DE287FC0C1BA2F177E23A4"
"src/DXOS.Domain/DXOS.Domain.csproj","Source","copy","DX-OS","DX-OS Application Code","250","754927C4E0B80E6AB2666AAAAA961569C198AEE07075BDBBB253E73B89969974"
"src/DXOS.Domain/FodyWeavers.xml","Source","copy","DX-OS","DX-OS Application Code","21","5FD72CE30CBB035E8D3A2D68559B6ADB5B0FEEB8BDDEDDB700A2848A315F1369"
"src/DXOS.Domain/FodyWeavers.xsd","Source","copy","DX-OS","DX-OS Application Code","1161","5D4A945AAB41A2D651E44F87461F8D3228FAE26D9333701187662420FF0AC46B"
"src/DXOS.Infrastructure/Class1.cs","Source","copy","DX-OS","DX-OS Application Code","66","173E10341E2F2ED20A99C232DB9FE5BF4063D33093538479DD2F88C1CF83AB76"
"src/DXOS.Infrastructure/DXOS.Infrastructure.csproj","Source","copy","DX-OS","DX-OS Application Code","250","754927C4E0B80E6AB2666AAAAA961569C198AEE07075BDBBB253E73B89969974"
"src/DXOS.Infrastructure/FodyWeavers.xml","Source","copy","DX-OS","DX-OS Application Code","21","5FD72CE30CBB035E8D3A2D68559B6ADB5B0FEEB8BDDEDDB700A2848A315F1369"
"src/DXOS.Infrastructure/FodyWeavers.xsd","Source","copy","DX-OS","DX-OS Application Code","1161","5D4A945AAB41A2D651E44F87461F8D3228FAE26D9333701187662420FF0AC46B"
"src/DXOS.Workflows/Class1.cs","Source","copy","DX-OS","DX-OS Application Code","61","DC8007E63110CB9A1D4BC0D2B1CDFC88392E141F2527E84189E11193E31835B6"
"src/DXOS.Workflows/DXOS.Workflows.csproj","Source","copy","DX-OS","DX-OS Application Code","250","754927C4E0B80E6AB2666AAAAA961569C198AEE07075BDBBB253E73B89969974"
"src/DXOS.Workflows/FodyWeavers.xml","Source","copy","DX-OS","DX-OS Application Code","21","5FD72CE30CBB035E8D3A2D68559B6ADB5B0FEEB8BDDEDDB700A2848A315F1369"
"src/DXOS.Workflows/FodyWeavers.xsd","Source","copy","DX-OS","DX-OS Application Code","1161","5D4A945AAB41A2D651E44F87461F8D3228FAE26D9333701187662420FF0AC46B"
"tests/DXOS.Architecture.Tests/DXOS.Architecture.Tests.csproj","Test","copy","DX-OS","DX-OS Test Code","571","B3BE21C39515FE103D6D9BC83FB1A05354406FFB22D674B777B102C1414C4257"
"tests/DXOS.Architecture.Tests/FodyWeavers.xml","Test","copy","DX-OS","DX-OS Test Code","21","5FD72CE30CBB035E8D3A2D68559B6ADB5B0FEEB8BDDEDDB700A2848A315F1369"
"tests/DXOS.Architecture.Tests/UnitTest1.cs","Test","copy","DX-OS","DX-OS Test Code","124","9815D227B9839C22B5FE30007AA162E9CB5A044E82E69BB2913FC19F645EAFCD"
"tests/DXOS.E2E.Tests/DXOS.E2E.Tests.csproj","Test","copy","DX-OS","DX-OS Test Code","571","B3BE21C39515FE103D6D9BC83FB1A05354406FFB22D674B777B102C1414C4257"
"tests/DXOS.E2E.Tests/FodyWeavers.xml","Test","copy","DX-OS","DX-OS Test Code","21","5FD72CE30CBB035E8D3A2D68559B6ADB5B0FEEB8BDDEDDB700A2848A315F1369"
"tests/DXOS.E2E.Tests/UnitTest1.cs","Test","copy","DX-OS","DX-OS Test Code","115","60C51AFF081B0BFEC04F51B5BCF5664171BE98925D4479804C6E34367D879E59"
"tests/DXOS.Integration.Tests/DXOS.Integration.Tests.csproj","Test","copy","DX-OS","DX-OS Test Code","571","B3BE21C39515FE103D6D9BC83FB1A05354406FFB22D674B777B102C1414C4257"
"tests/DXOS.Integration.Tests/FodyWeavers.xml","Test","copy","DX-OS","DX-OS Test Code","21","5FD72CE30CBB035E8D3A2D68559B6ADB5B0FEEB8BDDEDDB700A2848A315F1369"
"tests/DXOS.Integration.Tests/UnitTest1.cs","Test","copy","DX-OS","DX-OS Test Code","123","C5748D4BA7C68FAF09A52D8A50D63FC4F01A9A9805C04C01A45FEFEFDF59442C"
"tests/DXOS.Unit.Tests/DXOS.Unit.Tests.csproj","Test","copy","DX-OS","DX-OS Test Code","571","B3BE21C39515FE103D6D9BC83FB1A05354406FFB22D674B777B102C1414C4257"
"tests/DXOS.Unit.Tests/FodyWeavers.xml","Test","copy","DX-OS","DX-OS Test Code","21","5FD72CE30CBB035E8D3A2D68559B6ADB5B0FEEB8BDDEDDB700A2848A315F1369"
"tests/DXOS.Unit.Tests/UnitTest1.cs","Test","copy","DX-OS","DX-OS Test Code","116","0587A5E9E617CDB62C0737C45CD3CB5B040D79605ED007B12111C9E613CF7400"
"scripts/check-e2e.ps1","Script","copy","DX-OS","DX-OS Scripts","34","FB9692D23795F0F2BB6341070B2399FD468DD5C9D22C9BAED61666C3560B95BF"
"scripts/check.ps1","Script","copy","DX-OS","DX-OS Scripts","313","696F3B0F2EDE2316E0D9C6AF945A5FB329C89DA59D7C792CD046058B7B0D01A9"
"scripts/reset-demo.ps1","Script","copy","DX-OS","DX-OS Scripts","69","ECD98A296DBD0C66933712343F434AEE386AB5AE1A61806A146B57F3C9E44226"
"scripts/seed-demo.ps1","Script","copy","DX-OS","DX-OS Scripts","59","5C207D18C32F97B1FAA5E258F2C2F5E5D4BCA77767E360F3383016398C5ACE08"
"OPEN_SOURCE.md","Compliance","recreate","DX-OS","Recreated NOT_READY placeholder","108","7089E63B695A7854A6507DE062F57AA084595E03CF92A91FB139CD5E58BC4BF5"
"SECURITY.md","Compliance","recreate","DX-OS","Recreated NOT_READY placeholder","101","01ACF354EC82CE6A9FF9C42CAE3BD21303004FDDA9BF091ED2A9103BA2A9E0A6"
"THIRD_PARTY_NOTICES.md","Compliance","recreate","DX-OS","Recreated NOT_READY placeholder","104","3FF78507D4CC3AF38A440CBB822282E3307034125E6EB51CEDB13F8AC8A39DC2"
"artifacts/task-runs/open_source-cab.1/beads-issues.jsonl","Evidence","copy","DX-OS","Task Evidence","11002","83B376C4E2FD3A50ABCFC8C557B23AC147FE68EE0CFD6489DA88E42093728356"
"artifacts/task-runs/open_source-cab.1/prompt.md","Evidence","copy","DX-OS","Task Evidence","16534","3B061B0B79FDB3C0545E1EC05C6EF6CC6C598EB66AE8874E3A49DE2029E07097"
".gitignore","Config","recreate","DX-OS","Minimal gitignore","143","509F6E9CC84351C0EB244DF2172BD41FD43142A88DC1CCB0ED117E45F5A0723B"
"AGENTS.md","Governance","recreate","DX-OS","Minimal root agents","165","0F289C1D51EA519C52C8ED580D87CBF1AAD68E5167F8FA09C5045C1B7C9EDD45"
"README.md","Documentation","recreate","DX-OS","Migration note","113","CC4704CAAF7E46F9D4C2D1D4B0688275388657FDDC51DB6523F8BDDA83534885"
"LICENSE-PENDING.md","Compliance","recreate","DX-OS","Pending license","41","A4936F6DFDE2843F4CB9B30D03349FA41A37DFBB60525ACE88A467442D29173D"
".beads/.gitignore","Metadata","recreate","DX-OS","Intentional Beads generated file","1758","F7602E4A43FB73574ACC38AA0475D03D7383956983183B87F431865663676DC1"
".beads/README.md","Metadata","recreate","DX-OS","Intentional Beads generated file","2283","CAE1648DB67C27F1D86F92ED110119445356E23BB18A5DF57E73A7F476619267"
".beads/config.yaml","Metadata","recreate","DX-OS","Intentional Beads generated file","2622","129012112E8FE2489A4E904B8617C20482FA1736135D5266A86D81C121A9A80C"
".beads/hooks/post-checkout","Metadata","recreate","DX-OS","Intentional Beads generated file","1283","BCA38EAC5516A692B77175DEA010257D16B2EDEC6D4A062784A7EE5F26F04A86"
".beads/hooks/post-merge","Metadata","recreate","DX-OS","Intentional Beads generated file","1262","544904779E190283F66902151CBEA8613D6B3AAE3CED156BF84B6497C4D0E733"
".beads/hooks/pre-commit","Metadata","recreate","DX-OS","Intentional Beads generated file","1262","10B8698F123A1AA0E3F457E34E8C87B44619CA5A8B0B031D3AC623D612198973"
".beads/hooks/pre-push","Metadata","recreate","DX-OS","Intentional Beads generated file","1248","4CB0EFB741A5AB409F94F70A21779BAA1BD267D915BF34B5ACD3F821176BF651"
".beads/hooks/prepare-commit-msg","Metadata","recreate","DX-OS","Intentional Beads generated file","1318","FD0D7442C16C592247D6AD60FC18F2E9FFBA3E1170E43FC6F2D19E864227F4C0"
".beads/interactions.jsonl","Metadata","recreate","DX-OS","Intentional Beads generated file","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
".beads/metadata.json","Metadata","recreate","DX-OS","Intentional Beads generated file","156","4B4F09E2CB4B1A8BA3E4A8F358055D8AB9B8BD0DFD148CA109D54941E2F73F84"
"artifacts/task-runs/open_source-cab.1/extraction-manifest.json","Evidence","recreate","DX-OS","Self-referential evidence output","EXTERNAL_VERIFICATION_REQUIRED","EXTERNAL_VERIFICATION_REQUIRED"
"artifacts/task-runs/open_source-cab.1/inventory.csv","Evidence","recreate","DX-OS","Self-referential evidence output","EXTERNAL_VERIFICATION_REQUIRED","EXTERNAL_VERIFICATION_REQUIRED"
"artifacts/task-runs/open_source-cab.1/implementation-report.md","Evidence","recreate","DX-OS","Self-referential evidence output","EXTERNAL_VERIFICATION_REQUIRED","EXTERNAL_VERIFICATION_REQUIRED"
"artifacts/task-runs/open_source-cab.1/verification.md","Evidence","recreate","DX-OS","Self-referential evidence output","EXTERNAL_VERIFICATION_REQUIRED","EXTERNAL_VERIFICATION_REQUIRED"
